,nro_registro_interno,fecha_ingreso_denuncia,tema,subtema,referido_tipo,nacionalidad,provincia,localidad,genero,edad_aparente,embarazada,discapacidad,provincia_indec_id
982,7594357505,2020-09-26,Trata,Reducción a la servidumbre o situaciones análogas,Victima directa,Bolivia,La Pampa,No especifica,Mujer,No especifica,No,No,42.0
983,7594357505,2020-09-26,Trata,Reducción a la servidumbre o situaciones análogas,Victima directa,Bolivia,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
984,1525357505,2020-09-27,Trata,Persona desaparecida,Victima directa,Argentina,Jujuy,Palpalá,Mujer,No especifica,No,No,38.0
1002,6505457505,2020-10-02,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Buenos Aires,Mujer,15.0,No,No,6.0
1024,4584657505,2020-10-11,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Rafael Castillo,Mujer,13.0,No,No,6.0
1025,4584657505,2020-10-11,Trata,Persona desaparecida,Acusado,Argentina,No especifica,No especifica,Hombre,17.0,No,No,No especifica
1026,6584657505,2020-10-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Corrientes,Paso de los Libres,Mujer,No especifica,No,No,18.0
1027,3594657505,2020-10-12,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Mujer,45.0,No,No,No especifica
1039,2555657505,2020-10-15,Trata,"Explotación sexual niñas, niños y adolescentes",Victima indirecta - familiar,Argentina,No especifica,ensenada,Mujer,No especifica,No,No,No especifica
1040,2555657505,2020-10-15,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Buenos Aires,Ensenada,Mujer,No especifica,No,No,6.0
1041,2555657505,2020-10-15,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Buenos Aires,Ensenada,Mujer,No especifica,No,No,6.0
1042,4555657505,2020-10-15,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,14.0,No,No,No especifica
1043,5555657505,2020-10-15,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,No especifica,No especifica,Mujer,45.0,No,No,No especifica
1044,5555657505,2020-10-15,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,13.0,No,No,No especifica
1045,5555657505,2020-10-15,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,18.0,No,No,No especifica
1046,4575657505,2020-10-16,Trata,Explotación laboral,Acusado,Venezuela,Buenos Aires,Tigre,Hombre,No especifica,No,No,6.0
1049,2575757505,2020-10-22,Trata,Publicidad de oferta sexual,Victima indirecta - familiar,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
1050,2575757505,2020-10-22,Trata,Publicidad de oferta sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,17.0,No,No,No especifica
1054,7594848415,2020-10-25,Trata,Explotación sexual,Acusado,No especifica,Buenos Aires,Trujui,Mujer,No especifica,No,No,6.0
1055,7594848415,2020-10-25,Trata,Explotación sexual,Acusado,No especifica,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
1056,4505848415,2020-10-25,Trata,Explotación sexual,Acusado,No especifica,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
1057,7505848415,2020-10-25,Trata,Explotación laboral,Acusado,Bolivia,No especifica,No especifica,Hombre,42.0,No,No,No especifica
1063,5535848415,2020-10-27,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
1064,5535848415,2020-10-27,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
1065,5535848415,2020-10-27,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
1066,6535848415,2020-10-27,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,21.0,No,No,No especifica
1069,1565848415,2020-10-29,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Ensenada,Mujer,No especifica,No,No,6.0
1070,1565848415,2020-10-29,Trata,Explotación sexual,Victima indirecta - familiar,Argentina,No especifica,ensenada,Mujer,No especifica,No,No,No especifica
1071,1565848415,2020-10-29,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Ensenada,Mujer,No especifica,No,No,6.0
1072,7565848415,2020-10-29,Trata,"Explotación laboral niñas, niños y adolescentes",Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
1074,1575848415,2020-10-29,Trata,Reducción a la servidumbre o situaciones análogas,Victima directa,Argentina,No especifica,No especifica,Mujer,43.0,No,No,No especifica
1075,3594948415,2020-10-30,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Misiones,San Javier,Mujer,No especifica,No,No,54.0
1076,3594948415,2020-10-30,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Misiones,San Javier,Mujer,No especifica,No,No,54.0
1078,9405948415,2020-10-30,Trata,Explotación sexual,Acusado,Peru,No especifica,No especifica,Mujer,20.0,No,No,No especifica
1084,6535948415,2020-11-02,Trata,Explotación laboral,Victima directa,Bolivia,No especifica,No especifica,Mujer,19.0,No,No,No especifica
1085,6545948415,2020-11-02,Trata,Explotación laboral,Victima directa,Bolivia,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
1100,7555058415,2020-11-07,Trata,Posible captación,Acusado,Chile,No especifica,No especifica,Hombre,19.0,No,No,No especifica
1102,3575058415,2020-11-08,Trata,"Explotación laboral niñas, niños y adolescentes",Acusado,No especifica,Córdoba,Córdoba,Hombre,76.0,No,No,14.0
1103,3575058415,2020-11-08,Trata,"Explotación laboral niñas, niños y adolescentes",Acusado,No especifica,Córdoba,Córdoba,Hombre,45.0,No,No,14.0
1106,1535158415,2020-11-10,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Hombre,38.0,No,No,No especifica
1107,9435158415,2020-11-10,Trata,Servidumbre doméstica,Victima directa,Argentina,No especifica,No especifica,Mujer,37.0,No,No,No especifica
1119,7565158415,2020-11-12,Trata,Explotación laboral,Victima directa,Argentina,Buenos Aires,Las Flores,Hombre,60.0,No,No,6.0
1126,2525258415,2020-11-15,Trata,Posible captación,Victima directa,Peru,Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,20.0,No,No,6.0
1133,7584458415,2020-11-22,Trata,Persona desaparecida,Victima directa,Uruguay,Buenos Aires,Buenos Aires,Mujer,16.0,No,Si,6.0
1138,6505558415,2020-11-29,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Lanús Este,Mujer,48.0,No,No,6.0
1139,6505558415,2020-11-29,Trata,Persona desaparecida,Victima indirecta - familiar,Argentina,Buenos Aires,Lanús Este,Mujer,24.0,No,No,6.0
1142,6515558415,2020-11-29,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Lanús Este,Mujer,No especifica,No,No,6.0
1144,9455558415,2020-12-01,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Mujer,50.0,No,No,No especifica
1147,4555558415,2020-12-01,Trata,Explotación sexual,Victima directa,Argentina,Santa Fe,Santa Fe,Mujer,No especifica,No,No,82.0
1175,1535758415,2020-12-10,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
1180,1545758415,2020-12-11,Trata,Explotación laboral,Victima directa,Argentina,Santiago del Estero,Villa Ojo de Agua,Hombre,52.0,No,No,86.0
1183,7555758415,2020-12-11,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Buenos Aires,Bella Vista,Mujer,15.0,No,No,6.0
1197,1545849415,2020-12-15,Trata,Explotación laboral,Acusado,Argentina,No especifica,No especifica,Hombre,42.0,No,No,No especifica
1232,7545059415,2020-12-25,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Córdoba,Córdoba,Hombre,33.0,No,No,14.0
1237,505159415,2020-12-29,Trata,Posible captación,Victima directa,Argentina,Salta,Salta,Mujer,19.0,No,No,66.0
1244,8415159415,2020-12-29,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,No especifica,No especifica,Mujer,37.0,No,No,No especifica
1248,5505259415,2021-01-05,Trata,Grooming,Victima directa,Argentina,Buenos Aires,Ituzaingó,Mujer,9.0,No,No,6.0
1249,5505259415,2021-01-05,Trata,Grooming,Victima indirecta - familiar,Argentina,Buenos Aires,San Antonio de Padua,Hombre,31.0,No,No,6.0
1289,2505459415,2021-01-14,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,42.0,No,No,No especifica
1301,1555459415,2021-01-17,Trata,Persona desaparecida,Victima directa,Argentina,Santa Fe,Rosario,Mujer,40.0,No,No,82.0
1302,4555459415,2021-01-17,Trata,Persona desaparecida,Victima directa,Argentina,Santa Fe,Rosario,Mujer,40.0,No,No,82.0
1310,7505559415,2021-01-19,Trata,Explotación laboral,Victima directa,Bolivia,No especifica,No especifica,Mujer,30.0,No,No,No especifica
1336,5515840515,2021-01-31,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,40.0,No,No,No especifica
1345,9415940515,2021-02-04,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,12.0,No,No,No especifica
1354,8494050515,2021-02-08,Trata,"Explotación laboral niñas, niños y adolescentes",Acusado,Argentina,Córdoba,Córdoba,Hombre,0.0,No,No,14.0
1361,1535050515,2021-02-10,Trata,Explotación sexual,Victima directa,Hungria,No especifica,No especifica,Mujer,54.0,No,No,No especifica
1378,1575150515,2021-02-16,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,19.0,No,No,No especifica
1383,2525250515,2021-02-18,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Hombre,53.0,No,No,No especifica
1384,1525250515,2021-02-18,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Hombre,53.0,No,No,No especifica
1393,9445350515,2021-02-23,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Hombre,14.0,No,No,No especifica
1394,2545350515,2021-02-23,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,18.0,No,No,6.0
1396,2565350515,2021-02-24,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Virrey del Pino,Hombre,45.0,No,No,6.0
1401,5594450515,2021-02-25,Trata,"Explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,Santiago del Estero,Quimilí,Hombre,16.0,No,No,86.0
1402,5594450515,2021-02-25,Trata,"Explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,Santiago del Estero,Quimilí,Hombre,17.0,No,No,86.0
1415,4565450515,2021-02-28,Trata,Posible captación,Victima directa,Argentina,Chaco,Resistencia,Mujer,16.0,No,No,22.0
1416,4565450515,2021-02-28,Trata,Posible captación,Acusado,Argentina,Chaco,Resistencia,Hombre,40.0,No,No,22.0
1417,7565450515,2021-02-28,Trata,Posible captación,Victima directa,Argentina,Chaco,Resistencia,Mujer,16.0,No,No,22.0
1418,7565450515,2021-02-28,Trata,Posible captación,Acusado,Argentina,Chaco,Resistencia,Hombre,42.0,No,No,22.0
1428,5555550515,2021-03-05,Trata,Explotación laboral,Acusado,Paraguay,No especifica,No especifica,Mujer,60.0,No,No,No especifica
1435,2525650515,2021-03-07,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,La Plata,Mujer,39.0,No,No,6.0
1442,5525750515,2021-03-11,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Hombre,0.0,No,No,No especifica
1474,6594051515,2021-03-21,Trata,Posible captación,Victima directa,Argentina,Santa Fe,Pilar,Mujer,27.0,No,No,82.0
1475,6594051515,2021-03-21,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,13.0,No,No,No especifica
1476,6594051515,2021-03-21,Trata,Posible captación,Acusado,Argentina,No especifica,No especifica,Hombre,22.0,No,No,No especifica
1477,8405051515,2021-03-21,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,18.0,No,No,6.0
1482,4545051515,2021-03-23,Trata,Explotación sexual,Victima directa,Paraguay,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,25.0,No,No,2.0
1483,7545051515,2021-03-23,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,23.0,No,No,No especifica
1484,7545051515,2021-03-23,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Hombre,30.0,No,No,No especifica
1485,9465051515,2021-03-24,Trata,"Explotación laboral niñas, niños y adolescentes",Acusado,Bolivia,No especifica,No especifica,Hombre,0.0,No,No,No especifica
1501,6565251515,2021-03-31,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,19.0,No,No,No especifica
1505,3525351515,2021-04-02,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,19.0,No,No,No especifica
1534,3545551515,2021-04-11,Trata,Pornografía infantil,Victima directa,Argentina,No especifica,No especifica,Hombre,14.0,No,No,No especifica
1543,7525651515,2021-04-14,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Virrey del Pino,Hombre,0.0,No,No,6.0
1548,3565651515,2021-04-15,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,24.0,No,No,No especifica
1551,1505751515,2021-04-16,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,No especifica,No especifica,Hombre,60.0,No,No,No especifica
1552,1505751515,2021-04-16,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,No especifica,No especifica,Mujer,40.0,No,No,No especifica
1553,8415751515,2021-04-16,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,30.0,No,No,No especifica
1558,1545751515,2021-04-18,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Mujer,41.0,No,No,No especifica
1566,1505842515,2021-04-20,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Hombre,2.0,No,No,No especifica
1567,8445842515,2021-04-21,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,No especifica,Mujer,45.0,No,No,6.0
1571,6594942515,2021-04-23,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,16.0,No,No,No especifica
1575,6505942515,2021-04-24,Trata,Posible captación,Acusado,Paraguay,No especifica,No especifica,Hombre,30.0,No,No,No especifica
1576,7505942515,2021-04-24,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,16.0,No,No,No especifica
1580,1525942515,2021-04-25,Trata,Ofrecimiento,Acusado,Alemania,Sachsen,Dresden,Hombre,37.0,No,No,No especifica
1587,5584052515,2021-04-27,Trata,Posible captación,Acusado,Alemania,Sachsen,Dresden,Hombre,40.0,No,No,No especifica
1588,594052515,2021-04-27,Trata,Posible captación,Acusado,Alemania,Sachsen,Dresden,Hombre,50.0,No,No,No especifica
1589,6505052515,2021-04-28,Trata,Posible captación,Acusado,Alemania,Sachsen,Dresden,Hombre,40.0,No,No,No especifica
1600,3575152515,2021-05-04,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,0.0,No,No,No especifica
1612,5584452515,2021-05-13,Trata,Traslado de personas,Victima directa,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,24.0,No,No,6.0
1613,5584452515,2021-05-13,Trata,Traslado de personas,Victima indirecta - familiar,Argentina,No especifica,No especifica,Mujer,40.0,No,No,No especifica
1624,1535552515,2021-05-18,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Morón,Hombre,70.0,No,No,6.0
1626,7555552515,2021-05-19,Trata,Oferta laboral engañosa,Victima directa,Argentina,No especifica,No especifica,Mujer,24.0,No,No,No especifica
1635,8484652515,2021-05-20,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Mujer,50.0,No,No,No especifica
1641,6584652515,2021-05-20,Trata,Oferta laboral engañosa,Victima directa,Argentina,No especifica,No especifica,Mujer,24.0,No,No,No especifica
1643,9405652515,2021-05-21,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Tigre,Hombre,60.0,No,No,6.0
1646,6505652515,2021-05-21,Trata,Explotación laboral,Victima directa,Bolivia,No especifica,No especifica,Mujer,40.0,No,No,No especifica
1647,6505652515,2021-05-21,Trata,Explotación laboral,Victima directa,Bolivia,No especifica,No especifica,Mujer,40.0,No,No,No especifica
1655,5565652515,2021-05-23,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,25.0,No,No,No especifica
1657,515752515,2021-05-24,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Tigre,Hombre,40.0,No,No,6.0
1658,5535752515,2021-05-26,Trata,Explotación sexual,Acusado,Bolivia,No especifica,No especifica,Hombre,40.0,No,No,No especifica
1659,6535752515,2021-05-26,Trata,Grooming,Victima directa,Argentina,Misiones,Posadas,Hombre,14.0,No,No,54.0
1660,6535752515,2021-05-26,Trata,Grooming,Imputado,Chile,No especifica,No especifica,Mujer,14.0,No,No,No especifica
1662,4575752515,2021-05-27,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Hombre,0.0,No,No,6.0
1663,6584843515,2021-05-28,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Hombre,50.0,No,No,6.0
1664,6584843515,2021-05-28,Trata,Explotación sexual,Acusado,Argentina,Catamarca,San Fernando del Valle de Catamarca,Mujer,50.0,No,No,10.0
1691,6525943515,2021-06-01,Trata,"Explotación laboral niñas, niños y adolescentes",Victima indirecta - familiar,Argentina,No especifica,No especifica,Mujer,40.0,No,No,No especifica
1692,6525943515,2021-06-01,Trata,"Explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Hombre,6.0,No,No,No especifica
1693,6525943515,2021-06-01,Trata,"Explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,8.0,No,No,No especifica
1694,6525943515,2021-06-01,Trata,"Explotación laboral niñas, niños y adolescentes",Acusado,Argentina,No especifica,No especifica,Hombre,40.0,No,No,No especifica
1695,6525943515,2021-06-01,Trata,"Explotación laboral niñas, niños y adolescentes",Acusado,Argentina,Salta,Hickman,Mujer,60.0,No,No,66.0
1698,7535943515,2021-06-02,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,21.0,No,No,No especifica
1699,7535943515,2021-06-02,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,21.0,No,No,No especifica
1700,8445943515,2021-06-02,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,21.0,No,No,No especifica
1701,8445943515,2021-06-02,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,21.0,No,No,No especifica
1702,6545943515,2021-06-02,Trata,Explotación sexual,Acusado,Venezuela,No especifica,No especifica,Hombre,40.0,No,No,No especifica
1704,8455943515,2021-06-02,Trata,Explotación sexual,Acusado,Venezuela,No especifica,No especifica,Hombre,40.0,No,No,No especifica
1711,2515053515,2021-06-04,Trata,Explotación sexual,Victima directa,Argentina,Tucumán,No especifica,Mujer,39.0,No,No,90.0
1725,1535153515,2021-06-09,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,45.0,No,No,No especifica
1728,3555153515,2021-06-10,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Tucumán,Concepción,Mujer,25.0,No,No,90.0
1729,3555153515,2021-06-10,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Tucumán,Concepción,Hombre,30.0,No,No,90.0
1730,3555153515,2021-06-10,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,13.0,No,No,No especifica
1731,3555153515,2021-06-10,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,20.0,No,No,No especifica
1732,3555153515,2021-06-10,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,20.0,No,No,No especifica
1733,3555153515,2021-06-10,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,20.0,No,No,No especifica
1757,4584353515,2021-06-15,Trata,Explotación laboral,Victima directa,Bolivia,No especifica,No especifica,Mujer,16.0,No,No,No especifica
1758,6584353515,2021-06-15,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,5.0,No,No,No especifica
1761,515353515,2021-06-16,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Hombre,40.0,No,No,No especifica
1762,3515353515,2021-06-16,Trata,Explotación sexual,Victima directa,Paraguay,Entre Ríos,Diamante,Mujer,26.0,No,No,30.0
1771,5594553515,2021-06-23,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,13.0,No,No,No especifica
1784,2594753515,2021-06-30,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Hombre,50.0,No,No,No especifica
1786,5594753515,2021-06-30,Trata,Posible captación,Acusado,Puerto rico,No especifica,No especifica,Hombre,30.0,No,No,No especifica
1787,8405753515,2021-06-30,Trata,Explotación laboral,Acusado,Cuba,Buenos Aires,Villa Madero,Mujer,35.0,No,No,6.0
1798,4594844515,2021-07-03,Trata,Traslado de personas,Acusado,Argentina,No especifica,No especifica,Hombre,30.0,No,No,No especifica
1811,9435944515,2021-07-08,Trata,Traslado de personas,Victima directa,Bolivia,No especifica,No especifica,Mujer,13.0,No,No,No especifica
1812,9435944515,2021-07-08,Trata,Traslado de personas,Victima indirecta - familiar,Bolivia,No especifica,No especifica,Mujer,40.0,No,No,No especifica
1817,5545154515,2021-07-14,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,24.0,No,No,No especifica
1818,4545154515,2021-07-14,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Hombre,72.0,No,No,6.0
1819,8455154515,2021-07-14,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,17.0,No,No,No especifica
1820,8455154515,2021-07-14,Trata,Posible captación,Acusado,Argentina,No especifica,No especifica,Hombre,42.0,No,No,No especifica
1821,8455154515,2021-07-14,Trata,Posible captación,Victima indirecta - familiar,Argentina,No especifica,No especifica,Hombre,40.0,No,No,No especifica
1826,9475154515,2021-07-15,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,24.0,No,No,No especifica
1829,6584254515,2021-07-15,Trata,Posible captación,Victima directa,Argentina,No especifica,No especifica,Mujer,20.0,No,No,No especifica
1840,9465254515,2021-07-18,Trata,"Explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,14.0,No,No,No especifica
1848,594454515,2021-07-23,Trata,Persona desaparecida,Victima directa,Argentina,No especifica,No especifica,Mujer,5.0,No,No,No especifica
1850,505454515,2021-07-24,Trata,Posible captación,Acusado,Argentina,Buenos Aires,Wilde,Mujer,32.0,No,No,6.0
1852,2575454515,2021-07-27,Trata,Grooming,Victima directa,Argentina,No especifica,No especifica,Hombre,13.0,No,No,No especifica
1854,8484554515,2021-07-27,Trata,Pornografía infantil,Acusado,Argentina,No especifica,No especifica,Hombre,50.0,No,No,No especifica
1855,6584554515,2021-07-27,Trata,"Explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,17.0,No,No,No especifica
1856,4594554515,2021-07-28,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,15.0,No,No,No especifica
1857,4535554515,2021-07-29,Trata,Explotación laboral,Acusado,Paraguay,No especifica,No especifica,Mujer,45.0,No,No,No especifica
